,Aggregated,Daily New
1/22/2020,1,0.0
1/23/2020,1,0.0
1/24/2020,2,1.0
1/25/2020,2,0.0
1/26/2020,5,3.0
1/27/2020,5,0.0
1/28/2020,5,0.0
1/29/2020,5,0.0
1/30/2020,5,0.0
1/31/2020,7,2.0
2/1/2020,8,1.0
2/2/2020,8,0.0
2/3/2020,11,3.0
2/4/2020,11,0.0
2/5/2020,11,0.0
2/6/2020,11,0.0
2/7/2020,11,0.0
2/8/2020,11,0.0
2/9/2020,11,0.0
2/10/2020,11,0.0
2/11/2020,12,1.0
2/12/2020,12,0.0
2/13/2020,13,1.0
2/14/2020,13,0.0
2/15/2020,13,0.0
2/16/2020,13,0.0
2/17/2020,13,0.0
2/18/2020,13,0.0
2/19/2020,13,0.0
2/20/2020,13,0.0
2/21/2020,15,2.0
2/22/2020,15,0.0
2/23/2020,15,0.0
2/24/2020,15,0.0
2/25/2020,15,0.0
2/26/2020,15,0.0
2/27/2020,16,1.0
2/28/2020,16,0.0
2/29/2020,24,8.0
3/1/2020,30,6.0
3/2/2020,53,23.0
3/3/2020,73,20.0
3/4/2020,104,31.0
3/5/2020,174,70.0
3/6/2020,222,48.0
3/7/2020,337,115.0
3/8/2020,451,114.0
3/9/2020,519,68.0
3/10/2020,711,192.0
3/11/2020,1109,398.0
3/12/2020,1561,452.0
3/13/2020,2157,596.0
3/14/2020,2870,713.0
3/15/2020,2968,98.0
3/16/2020,4360,1392.0
3/17/2020,6141,1781.0
3/18/2020,8917,2776.0
3/19/2020,14157,5240.0
3/20/2020,19479,5322.0
3/21/2020,25825,6346.0
3/22/2020,33761,7936.0
3/23/2020,43850,10089.0
3/24/2020,54112,10262.0
3/25/2020,66055,11943.0
3/26/2020,84091,18036.0
3/27/2020,102276,18185.0
3/28/2020,122069,19793.0
3/29/2020,141205,19136.0
3/30/2020,162707,21502.0
3/31/2020,188724,26017.0
4/1/2020,214205,25481.0
4/2/2020,244610,30405.0
4/3/2020,276547,31937.0
4/4/2020,309699,33152.0
4/5/2020,337573,27874.0
4/6/2020,367215,29642.0
4/7/2020,397992,30777.0
4/8/2020,429686,31694.0
4/9/2020,464442,34756.0
4/10/2020,497943,33501.0
4/11/2020,527969,30026.0
4/12/2020,556522,28553.0
4/13/2020,581813,25291.0
4/14/2020,608878,27065.0
4/15/2020,637974,29096.0
4/16/2020,669272,31298.0
4/17/2020,701996,32724.0
4/18/2020,730337,28341.0
4/19/2020,756375,26038.0
4/20/2020,783716,27341.0
4/21/2020,809318,25602.0
4/22/2020,837422,28104.0
4/23/2020,871617,34195.0
4/24/2020,907908,36291.0
4/25/2020,940829,32921.0
4/26/2020,968518,27689.0
4/27/2020,990983,22465.0
4/28/2020,1015518,24535.0
4/29/2020,1043038,27520.0
4/30/2020,1072667,29629.0
5/1/2020,1106829,34162.0
5/2/2020,1136024,29195.0
5/3/2020,1161611,25587.0
5/4/2020,1184086,22475.0
5/5/2020,1208271,24185.0
5/6/2020,1233527,25256.0
5/7/2020,1261409,27882.0
5/8/2020,1288587,27178.0
5/9/2020,1314320,25733.0
5/10/2020,1334084,19764.0
5/11/2020,1352962,18878.0
5/12/2020,1375152,22190.0
5/13/2020,1396110,20958.0
5/14/2020,1423727,27617.0
5/15/2020,1449027,25300.0
5/16/2020,1474128,25101.0
5/17/2020,1493132,19004.0
5/18/2020,1514901,21769.0
5/19/2020,1535350,20449.0
5/20/2020,1559157,23807.0
5/21/2020,1584512,25355.0
5/22/2020,1608653,24141.0
5/23/2020,1630476,21823.0
5/24/2020,1651289,20813.0
5/25/2020,1670280,18991.0
5/26/2020,1689163,18883.0
5/27/2020,1707445,18282.0
5/28/2020,1730260,22815.0
5/29/2020,1754764,24504.0
5/30/2020,1779214,24450.0
5/31/2020,1799124,19910.0
6/1/2020,1816479,17355.0
6/2/2020,1837374,20895.0
6/3/2020,1857332,19958.0
6/4/2020,1878683,21351.0
6/5/2020,1903907,25224.0
6/6/2020,1926639,22732.0
6/7/2020,1944370,17731.0
6/8/2020,1961785,17415.0
6/9/2020,1979912,18127.0
6/10/2020,2000706,20794.0
6/11/2020,2023656,22950.0
6/12/2020,2048986,25330.0
6/13/2020,2074542,25556.0
6/14/2020,2094366,19824.0
6/15/2020,2114026,19660.0
6/16/2020,2137731,23705.0
6/17/2020,2163290,25559.0
6/18/2020,2191099,27809.0
6/19/2020,2222579,31480.0
6/20/2020,2255328,32749.0
6/21/2020,2281767,26439.0
6/22/2020,2312303,30536.0
6/23/2020,2347491,35188.0
6/24/2020,2382426,34935.0
6/25/2020,2422299,39873.0
6/26/2020,2467554,45255.0
6/27/2020,2510259,42705.0
6/28/2020,2549864,39605.0
6/29/2020,2590668,40804.0
6/30/2020,2636414,45746.0
7/1/2020,2687588,51174.0
7/2/2020,2742049,54461.0
7/3/2020,2795361,53312.0
7/4/2020,2841241,45880.0
7/5/2020,2891124,49883.0
7/6/2020,2936077,44953.0
7/7/2020,2996098,60021.0
7/8/2020,3054699,58601.0
7/9/2020,3117946,63247.0
7/10/2020,3185737,67791.0
7/11/2020,3245925,60188.0
7/12/2020,3304942,59017.0
7/13/2020,3364157,59215.0
7/14/2020,3431574,67417.0
7/15/2020,3498902,67328.0
7/16/2020,3576157,77255.0
7/17/2020,3647715,71558.0
7/18/2020,3711413,63698.0
7/19/2020,3773260,61847.0
7/20/2020,3834677,61417.0
7/21/2020,3899211,64534.0
7/22/2020,3970121,70910.0
7/23/2020,4038816,68695.0
7/24/2020,4112531,73715.0
7/25/2020,4178970,66439.0
7/26/2020,4233923,54953.0
7/27/2020,4290337,56414.0
7/28/2020,4356206,65869.0
7/29/2020,4426982,70776.0
7/30/2020,4495015,68033.0
7/31/2020,4562107,67092.0
8/1/2020,4620592,58485.0
8/2/2020,4668172,47580.0
8/3/2020,4713540,45368.0
8/4/2020,4771080,57540.0
8/5/2020,4823890,52810.0
8/6/2020,4883582,59692.0
8/7/2020,4941755,58173.0
8/8/2020,4997929,56174.0
8/9/2020,5044864,46935.0
8/10/2020,5094400,49536.0
8/11/2020,5141208,46808.0
8/12/2020,5197411,56203.0
8/13/2020,5248958,51547.0
8/14/2020,5313252,64294.0
8/15/2020,5361165,47913.0
8/16/2020,5403213,42048.0
8/17/2020,5438325,35112.0
8/18/2020,5483388,45063.0
8/19/2020,5529824,46436.0
8/20/2020,5573847,44023.0
8/21/2020,5622470,48623.0
8/22/2020,5667070,44600.0
8/23/2020,5701645,34575.0
8/24/2020,5739536,37891.0
8/25/2020,5777710,38174.0
8/26/2020,5821819,44109.0
8/27/2020,5867785,45966.0
8/28/2020,5913941,46156.0
